tiempo,altura,setpoint,flujo_entrada,flujo_salida,error
0.0000,0.9173,1.0000,0.9747,0.4770,0.0827
0.0000,0.9247,1.0000,0.9708,0.4789,0.0753
0.0000,0.9320,1.0000,0.9670,0.4808,0.0680
0.0000,0.9392,1.0000,0.9629,0.4827,0.0608
0.0000,0.9465,1.0000,0.9585,0.4846,0.0535
0.0000,0.9607,1.0000,0.9284,0.4883,0.0393
0.0000,0.9676,1.0000,0.9419,0.4901,0.0324
0.0000,0.9745,1.0000,0.9359,0.4918,0.0255
0.0000,0.9814,1.0000,0.9301,0.4936,0.0186
0.0000,0.9951,1.0000,0.8998,0.4971,0.0049
0.0000,1.0016,1.0000,0.9111,0.4988,-0.0016
0.0000,1.0082,1.0000,0.9038,0.5004,-0.0082
0.0000,1.0147,1.0000,0.8967,0.5020,-0.0147
0.0000,1.0276,1.0000,0.8666,0.5053,-0.0276
0.0000,1.0337,1.0000,0.8756,0.5069,-0.0337
0.0000,1.0399,1.0000,0.8672,0.5084,-0.0399
0.0000,1.0461,1.0000,0.8590,0.5099,-0.0461
0.0000,1.0521,1.0000,0.8506,0.5114,-0.0521
0.0000,1.0580,1.0000,0.8420,0.5129,-0.0580
0.0000,1.0639,1.0000,0.8332,0.5143,-0.0639
0.0000,1.0696,1.0000,0.8242,0.5157,-0.0696
0.0000,1.0753,1.0000,0.8150,0.5171,-0.0753
0.0000,1.0809,1.0000,0.8056,0.5185,-0.0809
0.0000,1.0863,1.0000,0.7961,0.5198,-0.0863
0.0000,1.0917,1.0000,0.7864,0.5211,-0.0917
0.0000,1.0969,1.0000,0.7766,0.5224,-0.0969
0.0000,1.1021,1.0000,0.7666,0.5237,-0.1021
0.0000,1.1071,1.0000,0.7565,0.5249,-0.1071
0.0000,1.1120,1.0000,0.7462,0.5261,-0.1120
0.0000,1.1169,1.0000,0.7358,0.5273,-0.1169
0.0000,1.1216,1.0000,0.7253,0.5284,-0.1216
0.0000,1.1262,1.0000,0.7146,0.5295,-0.1262
0.0000,1.1307,1.0000,0.7039,0.5306,-0.1307
0.0000,1.1351,1.0000,0.6930,0.5317,-0.1351
0.0000,1.1393,1.0000,0.6821,0.5327,-0.1393
0.0000,1.1435,1.0000,0.6711,0.5337,-0.1435
0.0000,1.1475,1.0000,0.6599,0.5347,-0.1475
0.0000,1.1514,1.0000,0.6487,0.5356,-0.1514
0.0000,1.1591,1.0000,0.6240,0.5374,-0.1591
0.0000,1.1626,1.0000,0.6224,0.5383,-0.1626
0.0000,1.1661,1.0000,0.6106,0.5391,-0.1661
0.0000,1.1695,1.0000,0.5991,0.5399,-0.1695
0.0000,1.1728,1.0000,0.5874,0.5407,-0.1728
0.0000,1.1760,1.0000,0.5758,0.5415,-0.1760
0.0000,1.1790,1.0000,0.5641,0.5422,-0.1790
0.0000,1.1820,1.0000,0.5523,0.5429,-0.1820
0.0000,1.1848,1.0000,0.5406,0.5436,-0.1848
0.0000,1.1875,1.0000,0.5288,0.5442,-0.1875
0.0000,1.1900,1.0000,0.5171,0.5449,-0.1900
0.0000,1.1925,1.0000,0.5053,0.5454,-0.1925
0.0000,1.1948,1.0000,0.4936,0.5460,-0.1948
0.0000,1.1970,1.0000,0.4818,0.5465,-0.1970
0.0000,1.1991,1.0000,0.4701,0.5470,-0.1991
0.0000,1.2010,1.0000,0.4584,0.5475,-0.2010
0.0000,1.2029,1.0000,0.4467,0.5480,-0.2029
0.0000,1.2046,1.0000,0.4350,0.5484,-0.2046
0.0000,1.2062,1.0000,0.4234,0.5488,-0.2062
0.0000,1.2077,1.0000,0.4118,0.5491,-0.2077
0.0000,1.2091,1.0000,0.4003,0.5495,-0.2091
0.0000,1.2103,1.0000,0.3888,0.5498,-0.2103
0.0000,1.2115,1.0000,0.3774,0.5501,-0.2115
0.0000,1.2125,1.0000,0.3660,0.5503,-0.2125
0.0000,1.2134,1.0000,0.3547,0.5506,-0.2134
0.0000,1.2142,1.0000,0.3435,0.5508,-0.2142
0.0000,1.2149,1.0000,0.3324,0.5509,-0.2149
0.0000,1.2154,1.0000,0.3213,0.5511,-0.2154
0.0000,1.2163,1.0000,0.3087,0.5513,-0.2163
0.0000,1.2167,1.0000,0.2990,0.5514,-0.2167
0.0000,1.2169,1.0000,0.2882,0.5515,-0.2169
